#meta full request: /calibration/alert/ahdc/time_offsets:21417:default:2025-04-11_12-22-13
#meta variation: default
#meta created: 2025-04-11 12:22:13
#meta run range: 21417 - inf.
#meta author: mpaolone

# Sector Layer Component t0 dt0 extra1 extra2 chi2ndf

#& sector layer component t0 dt0 extra1 extra2 chi2ndf
1 32 57 227.3663 17.9678 0.0 0.0 1.70
1 32 58 227.5117 18.5917 0.0 0.0 1.38
1 32 59 224.2339 15.3240 0.0 0.0 1.73
1 32 60 226.6323 17.8456 0.0 0.0 1.78
1 32 61 221.4825 17.0823 0.0 0.0 1.87
1 32 62 222.8972 16.8429 0.0 0.0 1.57
1 32 63 221.783 16.6930 0.0 0.0 1.87
1 32 64 223.3729 16.9519 0.0 0.0 1.65
1 32 65 222.7923 16.6311 0.0 0.0 1.69
1 32 66 224.4297 17.1985 0.0 0.0 1.61
1 32 67 223.2491 17.0425 0.0 0.0 1.40
1 32 68 223.808 16.9318 0.0 0.0 1.81
1 32 69 220.3861 16.3797 0.0 0.0 1.69
1 32 70 222.83 17.1722 0.0 0.0 1.53
1 32 71 221.7234 17.3062 0.0 0.0 1.76
1 32 72 223.9074 17.3892 0.0 0.0 1.59
1 41 1 225.0274 17.7152 0.0 0.0 1.68
1 41 2 225.6652 17.7056 0.0 0.0 1.81
1 41 3 223.7482 17.4971 0.0 0.0 1.66
1 41 4 224.4378 19.2454 0.0 0.0 1.47
1 41 5 226.0369 18.1458 0.0 0.0 1.50
1 41 6 227.0627 18.7176 0.0 0.0 1.58
1 41 7 227.4754 18.3392 0.0 0.0 1.51
1 41 8 225.8492 18.2146 0.0 0.0 1.59
1 41 9 223.1479 17.7880 0.0 0.0 1.59
1 41 10 227.6526 17.6947 0.0 0.0 1.43
1 41 11 223.2635 17.7771 0.0 0.0 1.52
1 41 12 224.6622 17.6995 0.0 0.0 1.58
1 41 13 224.2791 17.9107 0.0 0.0 1.47
1 41 14 222.2166 17.6565 0.0 0.0 1.75
1 41 15 223.9132 19.0913 0.0 0.0 1.53
1 41 16 222.2233 18.2019 0.0 0.0 1.47
1 41 17 222.0791 17.9798 0.0 0.0 1.74
1 41 18 223.2204 17.7202 0.0 0.0 1.59
1 41 19 222.4768 18.0882 0.0 0.0 1.53
1 41 20 221.5419 17.8520 0.0 0.0 1.42
1 41 21 222.1344 18.4320 0.0 0.0 1.80
1 41 22 223.3744 18.2529 0.0 0.0 1.75
1 41 23 223.2307 19.6838 0.0 0.0 1.58
1 41 24 222.1236 18.1419 0.0 0.0 1.53
1 41 25 221.2829 17.5636 0.0 0.0 1.72
1 41 26 220.6312 17.7593 0.0 0.0 1.58
1 41 27 223.4988 18.2428 0.0 0.0 1.95
1 41 28 225.0703 19.5252 0.0 0.0 1.42
1 41 29 225.1841 18.1483 0.0 0.0 1.50
1 41 30 222.5632 17.5363 0.0 0.0 1.59
1 41 31 221.7687 16.7295 0.0 0.0 1.75
1 41 32 225.068 17.7492 0.0 0.0 1.91
1 41 33 222.7609 17.1177 0.0 0.0 1.86
1 41 34 221.2422 17.4567 0.0 0.0 1.88
1 41 35 221.6488 17.2324 0.0 0.0 2.06
1 41 36 225.8568 18.9440 0.0 0.0 1.55
1 41 37 227.9736 19.2024 0.0 0.0 1.65
1 41 38 227.9522 19.1427 0.0 0.0 1.52
1 41 39 229.3102 18.9738 0.0 0.0 1.56
1 41 40 227.7487 18.5127 0.0 0.0 1.84
1 41 41 226.3459 18.5933 0.0 0.0 1.71
1 41 42 224.9825 17.7490 0.0 0.0 2.08
1 41 43 225.1275 17.7828 0.0 0.0 1.93
1 41 44 225.3915 18.0693 0.0 0.0 1.78
1 41 45 224.4652 18.0750 0.0 0.0 1.83
1 41 46 221.986 17.5947 0.0 0.0 2.26
1 41 47 224.7464 18.9778 0.0 0.0 1.59
1 41 48 223.5562 17.6128 0.0 0.0 2.00
1 41 49 222.4766 17.4822 0.0 0.0 1.82
1 41 50 224.1623 17.6311 0.0 0.0 1.89
1 41 51 224.4837 17.9213 0.0 0.0 1.48
1 41 52 223.7246 18.7954 0.0 0.0 1.48
1 41 53 223.4267 18.2485 0.0 0.0 1.53
1 41 54 224.9711 18.4362 0.0 0.0 1.44
1 41 55 228.3053 17.9813 0.0 0.0 1.68
